symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,data_points,class_distribution,status
1000CATUSDT,0.007519,-1,SELL,0.7010218648957772,-6.071205496564651,2.249503739493183,強烈賣出,HIGH,0.9643183897529735,0.8211678832116789,"['ma_50', 'ma_20', 'macd_histogram']",1367,"{-1: 527, 0: 413, 1: 427}",SUCCESS
1000CHEEMSUSDT,0.0014775,0,HOLD,0.5566356490213479,2.6041666666666656,1.514961124419646,持有,LOW,0.9066788655077768,0.7883211678832117,"['ma_50', 'atr', 'bb_upper']",1367,"{-1: 331, 0: 779, 1: 257}",SUCCESS
1000BONKUSDT,0.016806,1,BUY,0.6160231677791552,0.035714285714300784,1.955879858672863,強烈買入,MEDIUM,0.94967978042086,0.8138686131386861,"['ma_50', 'macd_signal', 'bb_upper']",1367,"{-1: 498, 0: 410, 1: 459}",SUCCESS
1000FLOKIUSDT,0.0781,0,HOLD,0.43225020948070236,-0.21719688258592498,1.6771618615089,持有,LOW,0.929551692589204,0.781021897810219,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 486, 0: 450, 1: 431}",SUCCESS
1000LUNCUSDT,0.05712,0,HOLD,0.6119122620759696,-0.6263048016701568,0.6430507967295684,持有,LOW,0.9066788655077768,0.7700729927007299,"['ma_50', 'macd', 'macd_signal']",1367,"{-1: 332, 0: 731, 1: 304}",SUCCESS
1000WHYUSDT,2.73e-05,0,HOLD,0.5066361397460795,1.4869888475836415,0.8554019296127572,持有,LOW,0.8920402561756633,0.7372262773722628,"['ma_20', 'ma_5', 'bb_middle']",1367,"{-1: 473, 0: 585, 1: 309}",SUCCESS
1000SATSUSDT,4.01e-05,-1,SELL,0.5989336905309213,0.7537688442211069,1.0884104214343702,賣出,HIGH,0.929551692589204,0.7956204379562044,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 473, 0: 451, 1: 443}",SUCCESS
1000SHIBUSDT,0.011811,0,HOLD,0.6551272270772315,-0.35434067324728225,0.839046081812647,持有,LOW,0.8572735590118938,0.7262773722627737,"['ma_50', 'bb_lower', 'bb_middle']",1367,"{-1: 339, 0: 754, 1: 274}",SUCCESS
1000PEPEUSDT,0.0099127,-1,SELL,0.9048133726772235,-2.5443641547461047,2.513549449507275,強烈賣出,HIGH,0.929551692589204,0.7554744525547445,"['ma_50', 'bb_upper', 'ma_20']",1367,"{-1: 475, 0: 473, 1: 419}",SUCCESS
1000RATSUSDT,0.02013,-1,SELL,0.38017476738855094,-0.19831432821022232,1.2876533078170873,賣出,HIGH,0.9515096065873742,0.7773722627737226,"['macd_signal', 'ma_50', 'ma_10']",1367,"{-1: 511, 0: 435, 1: 421}",SUCCESS
