symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,status
BTCUSDT,109236.6,0,HOLD,0.9834450014382438,0.14108561669266415,0.3693913934759711,持有,LOW,0.9670461354104254,0.9234449760765551,"['ma_10', 'ma_20', 'ma_50']",SUCCESS
ETHUSDT,2570.54,0,HOLD,0.6348240989143841,0.17770988082525763,0.6005194495943248,持有,LOW,0.9466746554823248,0.8157894736842105,"['ma_50', 'bb_lower', 'ma_5']",SUCCESS
BNBUSDT,658.49,0,HOLD,0.9978969341642043,-0.7146841970357204,0.27913836575579243,持有,LOW,0.9706411024565608,0.9473684210526315,"['ma_50', 'bb_upper', 'ma_20']",SUCCESS
ADAUSDT,0.5917,-1,SELL,0.5596774301314313,-0.3200808625336949,1.235790167596404,賣出,HIGH,0.8286399041342121,0.722488038277512,"['bb_middle', 'ma_50', 'ma_20']",SUCCESS
DOTUSDT,3.524,-1,SELL,0.5088299188066088,-1.0390339792193182,1.029960176433944,賣出,HIGH,0.9281006590772918,0.7942583732057417,"['ma_50', 'bb_upper', 'bb_middle']",SUCCESS
AVAXUSDT,18.491,-1,SELL,0.665766133203659,-0.12962462867945398,1.058585611544483,強烈賣出,HIGH,0.938885560215698,0.8157894736842105,"['ma_50', 'bb_upper', 'ma_20']",SUCCESS
ATOMUSDT,4.19,-1,SELL,0.6154017531723224,-0.2855782960494899,0.6272090194573736,強烈賣出,HIGH,0.9310964649490713,0.7918660287081339,"['ma_50', 'ma_20', 'atr']",SUCCESS
FILUSDT,2.376,-1,SELL,0.449978692443243,-0.7933194154488571,0.8760125009579681,賣出,HIGH,0.9424805272618334,0.8157894736842105,"['ma_50', 'atr', 'bb_upper']",SUCCESS
LINKUSDT,13.667,-1,SELL,0.3914626362149196,0.3377138242419747,0.9681796658512454,賣出,HIGH,0.9310964649490713,0.7679425837320574,"['ma_50', 'bb_lower', 'bb_upper']",SUCCESS
UNIUSDT,7.646,-1,SELL,0.6884068896472616,3.787158952083615,2.0992389989359475,強烈賣出,HIGH,0.950868783702816,0.7799043062200957,"['ma_50', 'bb_lower', 'ma_20']",SUCCESS
