symbol,current_price,signal,confidence,recommendation,price_change_24h,train_accuracy,test_accuracy,top_features
AVAUSDT,0.5942,HOLD,0.9999743589743589,持有,8.470244614822928,0.9905172413793103,0.9621993127147767,"bb_middle, bb_upper, ma_50"
ATOMUSDT,4.75,HOLD,0.9999315068493151,持有,10.671015843429641,0.9991379310344828,0.979381443298969,"bb_lower, bb_middle, ma_50"
BANDUSDT,0.6884,HOLD,0.999564852265095,持有,11.229600904831152,0.996551724137931,0.9656357388316151,"ma_50, macd, bb_width"
AXLUSDT,0.3764,HOLD,0.9966260504201679,持有,12.057159869008645,0.9905172413793103,0.9450171821305842,"macd_signal, rsi, ma_50"
DEFIUSDT,753.4,HOLD,0.993558714943226,持有,11.285081240768092,0.9801724137931035,0.9553264604810997,"rsi, bb_middle, ma_50"
BTCUSDT,117760.4,HOLD,0.99,持有,5.756982487651544,1.0,1.0,"macd_histogram, ma_5, macd"
ENSUSDT,22.335,HOLD,0.9846462484125635,持有,10.187469166255557,0.9793103448275862,0.9621993127147767,"macd_signal, macd, ma_50"
THEUSDT,0.2913,HOLD,0.97953698448466,持有,17.317760773258158,0.9612068965517241,0.9347079037800687,"bb_lower, macd, ma_50"
GRTUSDT,0.10008,HOLD,0.9792553770184957,持有,11.5346038114343,0.9853448275862069,0.9587628865979382,"macd_signal, bb_middle, bb_lower"
DYMUSDT,0.3,HOLD,0.9727742237898609,持有,20.967741935483865,0.9655172413793104,0.9140893470790378,"rsi, macd_histogram, ma_50"
ACXUSDT,0.176,HOLD,0.9705847902928071,持有,13.621691413815352,0.9629310344827586,0.9415807560137457,"macd, macd_histogram, bb_width"
CRVUSDT,0.65,HOLD,0.9693826097690754,持有,15.864527629233505,0.9629310344827586,0.9381443298969072,"rsi, ma_50, volatility"
1INCHUSDT,0.2925,HOLD,0.9614529914529915,持有,34.54461821527137,0.9810344827586207,0.9725085910652921,"macd_signal, volatility, ma_50"
ENJUSDT,0.07825,HOLD,0.947649289854563,持有,12.025769506084474,0.9767241379310345,0.9518900343642611,"ma_10, macd_signal, ma_50"
HMSTRUSDT,0.000805,HOLD,0.9410503640499986,持有,11.805555555555555,0.9836206896551725,0.9484536082474226,"bb_middle, volatility, bb_width"
ENAUSDT,0.3483,HOLD,0.9408802087305402,持有,19.690721649484544,0.9310344827586207,0.9003436426116839,"macd, ma_50, rsi"
CFXUSDT,0.09513,HOLD,0.9357838070315657,持有,22.008464794151607,0.9758620689655172,0.9518900343642611,"macd_signal, bb_upper, ma_50"
1000XUSDT,0.06051,HOLD,0.9153070650952013,持有,23.945104465383036,0.9439655172413793,0.8900343642611683,"bb_upper, bb_middle, ma_50"
SKLUSDT,0.02103,HOLD,0.8907671920247735,持有,14.729950900163672,0.9775862068965517,0.9656357388316151,"rsi, bb_width, macd_signal"
DENTUSDT,0.000754,HOLD,0.8851459045498915,持有,18.92744479495268,0.9913793103448276,0.9587628865979382,"bb_middle, ma_50, macd_histogram"
GOATUSDT,0.14253,HOLD,0.8646100089913203,持有,33.81842080555816,0.9336206896551724,0.8041237113402062,"macd_histogram, bb_lower, volatility"
BANANAS31USDT,0.0244,HOLD,0.7830745963802229,持有,-6.759906759906759,0.9655172413793104,0.8762886597938144,"bb_width, volatility, ma_50"
